contractId,infraYear,budget,ndbi_d,ndvi_d,bsi_d,change_class,confidence,flagged,reason
24KA0105,2024,96500000.0,0.1087,-0.1312,0.1015,partial_construction,0.181,True,completed_minimal_construction_evidence
24PA0049,2024,144750000.0,-0.0373,0.0456,-0.0328,no_change,0.954,True,completed_no_satellite_change
24CM0025,2024,96499707.06,-0.0088,-0.0106,-0.0067,no_change,0.989,True,completed_no_satellite_change
24LD0068,2024,49000000.0,0.0363,-0.0658,0.0405,no_change,0.934,True,completed_no_satellite_change
24AI0064,2024,48944869.3,-0.0579,-0.0123,-0.0515,partial_construction,0.174,True,completed_minimal_construction_evidence
24EF0026,2024,24499188.0,-0.1258,0.015,-0.0969,partial_construction,0.377,False,partial_construction_detected
24JG0013,2024,66467270.0,-0.0039,-0.0261,0.0085,no_change,0.974,True,completed_no_satellite_change
24CK0043,2024,96497427.33,-0.0241,0.0351,-0.0121,no_change,0.965,True,completed_no_satellite_change
24OA0033,2024,48998274.82,0.019,-0.0068,0.003,no_change,0.981,True,completed_no_satellite_change
24KB0042,2024,13066340.0,-0.0328,-0.0024,-0.0203,no_change,0.967,True,completed_no_satellite_change
24FB0036,2024,98998134.14,-0.0011,-0.002,0.0027,no_change,0.998,True,completed_no_satellite_change
24IL0014,2024,61760000.0,0.1076,0.0065,0.0418,partial_construction,0.179,True,completed_minimal_construction_evidence
24IA0047,2024,5807387.3,-0.0064,0.0096,-0.003,no_change,0.99,True,completed_no_satellite_change
24CF0046,2024,4873904.4,-0.0188,0.0061,-0.0117,no_change,0.981,True,completed_no_satellite_change
24DL0015,2024,19599888.56,0.0144,-0.0399,0.0153,no_change,0.96,True,completed_no_satellite_change
24IC0072,2024,48994866.8,0.0762,-0.085,0.0735,partial_construction,0.229,True,completed_minimal_construction_evidence
24BC0086,2024,48958625.47,0.0336,-0.0526,0.0194,no_change,0.947,True,completed_no_satellite_change
24CK0048,2024,96497236.09,0.0251,-0.0813,0.0199,partial_construction,0.163,True,completed_minimal_construction_evidence
24IC0061,2024,96440245.88,0.0333,0.0091,0.0286,no_change,0.967,True,completed_no_satellite_change
24EH0069,2024,19600000.0,-0.0021,0.0084,-0.0029,no_change,0.992,True,completed_no_satellite_change
24CJ0020,2024,92954070.0,0.0563,-0.1258,0.0513,partial_construction,0.252,True,completed_minimal_construction_evidence
24M00162,2024,120624229.69,0.0271,-0.0724,0.034,no_change,0.928,True,completed_no_satellite_change
24BI0170,2024,144750000.0,-0.0225,0.0443,-0.0189,no_change,0.956,True,completed_no_satellite_change
24GF0031,2024,14677241.97,-0.0264,0.0339,-0.0339,no_change,0.966,True,completed_no_satellite_change
24EA0032,2024,96495098.79,-0.0028,0.0178,-0.0086,no_change,0.982,True,completed_no_satellite_change
24PE0010,2024,59820000.0,0.0025,-0.022,0.0023,no_change,0.978,True,completed_no_satellite_change
24AG0137,2024,96500000.0,0.0319,-0.0189,0.0188,no_change,0.968,True,completed_no_satellite_change
24FO0014,2024,9800000.0,-0.0055,-0.0346,0.0155,no_change,0.965,True,completed_no_satellite_change
